Title,URL,students count,course duration,instructor,lessions count,level,student projects,engaging,clarity,quality
YouTube for Beginners - How to Start & Grow Your YouTube Channel,https://www.skillshare.com/en/classes/YouTube-for-Beginners-How-to-Start-Grow-Your-YouTube-Channel/1956780612,"18,899 students",4h 9m,Ali Abdaal,"
                                        28 Lessons (4h 9m)
                                    ",Beginner level,"
                            
                                
                                238
                            
                            Projects
                        ","
                                    239
                                    Engaging Teacher
                                    ","
                                    220
                                    Clarity of Instruction
                                    ","
                                    214
                                    Audio & Video Quality
                                    "
Productivity Masterclass - Principles and Tools to Boost Your Productivity,https://www.skillshare.com/en/classes/Productivity-Masterclass-Principles-and-Tools-to-Boost-Your-Productivity/647318269,"92,927 students",1h 55m,Ali Abdaal,"
                                        16 Lessons (1h 56m)
                                    ",Beginner level,"
                            
                                
                                270
                            
                            Projects
                        ","
                                    2781
                                    Engaging Teacher
                                    ","
                                    2466
                                    Clarity of Instruction
                                    ","
                                    2463
                                    Helpful Examples
                                    "
iPhone Photography: How to Take Pro Photos On Your iPhone,https://www.skillshare.com/en/classes/iPhone-Photography-How-to-Take-Pro-Photos-On-Your-iPhone/1564055279,"164,737 students",55m,Dale McManus,"
                                        22 Lessons (55m)
                                    ",Beginner level,"
                            
                                
                                563
                            
                            Projects
                        ","
                                    7099
                                    Clarity of Instruction
                                    ","
                                    6758
                                    Helpful Examples
                                    ","
                                    6046
                                    Engaging Teacher
                                    "
Video Editing with Adobe Premiere Pro for Beginners,https://www.skillshare.com/en/classes/Video-Editing-with-Adobe-Premiere-Pro-for-Beginners/800216478,"114,215 students",3h 21m,Jordy Vandeput,"
                                        19 Lessons (3h 22m)
                                    ",Beginner level,"
                            
                                
                                245
                            
                            Projects
                        ","
                                    2203
                                    Clarity of Instruction
                                    ","
                                    2121
                                    Engaging Teacher
                                    ","
                                    1994
                                    Organization of Lessons
                                    "
Notion Masterclass: Maximise Your Productivity & Organisation,https://www.skillshare.com/en/classes/Notion-Masterclass-Maximise-Your-Productivity-Organisation/1533502361,"8,608 students",1h 45m,Ali Abdaal,"
                                        24 Lessons (1h 45m)
                                    ",Beginner level,"
                            
                                
                                28
                            
                            Projects
                        ","
                                    82
                                    Engaging Teacher
                                    ","
                                    78
                                    Clarity of Instruction
                                    ","
                                    75
                                    Organization of Lessons
                                    "
Adobe Illustrator CC – Essentials Training,https://www.skillshare.com/en/classes/Adobe-Illustrator-CC-%E2%80%93-Essentials-Training/1986526776,"98,043 students",7h 0m,Daniel Scott,"
                                        42 Lessons (7h)
                                    ",Beginner level,"
                            
                                
                                3,570
                            
                            Projects
                        ","
                                    3094
                                    Engaging Teacher
                                    ","
                                    3038
                                    Clarity of Instruction
                                    ","
                                    2915
                                    Helpful Examples
                                    "
Intro to Procreate: Illustrating on the iPad (UPDATED for 2022),https://www.skillshare.com/en/classes/Intro-to-Procreate-Illustrating-on-the-iPad-UPDATED-for-2022/612500335,"116,757 students",1h 57m,Brooke Glaser,"
                                        23 Lessons (1h 58m)
                                    ",Beginner level,"
                            
                                
                                703
                            
                            Projects
                        ","
                                    3451
                                    Clarity of Instruction
                                    ","
                                    3208
                                    Helpful Examples
                                    ","
                                    3097
                                    Engaging Teacher
                                    "
Fundamentals of DSLR Photography,https://www.skillshare.com/en/classes/Fundamentals-of-DSLR-Photography/1111783378,"124,859 students",1h 19m,Photo Essentials x Justin Bridges,"
                                        12 Lessons (1h 19m)
                                    ",Beginner level,"
                            
                                
                                309
                            
                            Projects
                        ","
                                    2419
                                    Clarity of Instruction
                                    ","
                                    2349
                                    Helpful Examples
                                    ","
                                    2226
                                    Engaging Teacher
                                    "
La Ciencia de Estudiar Efectivamente,https://www.skillshare.com/en/classes/La-Ciencia-de-Estudiar-Efectivamente/99331878,"2,403 students",1h 57m,Santiago Acosta,"
                                        13 Lessons (1h 58m)
                                    ",Beginner level,"
                            
                                
                                9
                            
                            Projects
                        ","
                                    86
                                    Clarity of Instruction
                                    ","
                                    81
                                    Engaging Teacher
                                    ","
                                    77
                                    Organization of Lessons
                                    "
Graphic Design Basics: Core Principles for Visual Design,https://www.skillshare.com/en/classes/Graphic-Design-Basics-Core-Principles-for-Visual-Design/1539782161,"164,054 students",36m,Ellen Lupton,"
                                        9 Lessons (36m)
                                    ",Beginner level,"
                            
                                
                                679
                            
                            Projects
                        ","
                                    2247
                                    Helpful Examples
                                    ","
                                    2098
                                    Clarity of Instruction
                                    ","
                                    1891
                                    Engaging Teacher
                                    "
